Away Team ID,Away Team Abbr,Away Team City,Away Team Name,Home Team ID,Home Team Abbr,Home Team City,Home Team Name,Location
83,NYK,New York,Knicks,86,CLE,Cleveland,Cavaliers,Quicken Loans Arena
98,UTA,Utah,Jazz,97,POR,Portland,Trail Blazers,Moda Center
106,SAS,San Antonio,Spurs,101,GSW,Golden State,Warriors,Oracle Arena
92,MIA,Miami,Heat,95,ORL,Orlando,Magic,Amway Center
108,DAL,Dallas,Mavericks,87,IND,Indiana,Pacers,Bankers Life Fieldhouse
84,BRO,Brooklyn,Nets,82,BOS,Boston,Celtics,TD Garden
88,DET,Detroit,Pistons,81,TOR,Toronto,Raptors,Air Canada Centre
93,CHA,Charlotte,Hornets,90,MIL,Milwaukee,Bucks,BMO Harris Bradley Center
100,MIN,Minnesota,Timberwolves,107,MEM,Memphis,Grizzlies,FedEx Forum
99,DEN,Denver,Nuggets,110,NOP,New Orleans,Pelicans,Smoothie King Center
96,OKL,Oklahoma City,Thunder,85,PHI,Philadelphia,76ers,Wells Fargo Center
103,SAC,Sacramento,Kings,104,PHX,Phoenix,Suns,Talking Stick Resort Arena
109,HOU,Houston,Rockets,105,LAL,Los Angeles,Lakers,Staples Center
101,GSW,Golden State,Warriors,88,DET,Detroit,Pistons,Palace of Auburn Hills
